"","cptcodes_clubbed"
"1","Y6120"
"2","Y2500"
"3","27447"
"4","J1745"
"5","Y6100"
"6","99203"
"7","X1200"
"8","97110"
"9","62311"
"10","Y7100"
"11","72148"
"12","Y4200"
"13","20610"
"14","73721"
"15","97140"
"16","Y3700"
"17","00670"
"18","98940"
"19","01402"
"20","27130"
"21","J0490"
"22","Y6360"
"23","Y4500"
"24","J7325"
"25","22551"
"26","Y3010"
"27","72141"
"28","99202"
"29","99204"
"30","J0878"
"31","99212"
"32","00630"
"33","Y5100"
"34","Y3520"
"35","Y3000"
"36","J0897"
"37","64483"
"38","Y2700"
"39","63047"
"40","Y2600"
"41","72158"
"42","77003"
"43","64493"
"44","63030"
"45","97001"
"46","01400"
"47","97014"
"48","01214"
"49","73221"
"50","62310"
"51","01630"
"52","22845"
"53","29881"
"54","Y4300"
"55","01480"
"56","27096"
"57","97112"
"58","Y3050"
"59","22633"
"60","72100"
"61","Y9210"
"62","22851"
"63","73630"
"64","98942"
"65","99284"
"66","99215"
"67","22612"
"68","22558"
"69","73562"
"70","29827"
"71","Y9200"
"72","S9500"
"73","73718"
"74","93971"
"75","64635"
"76","73222"
"77","29877"
"78","64490"
"79","64494"
"80","96413"
"81","64636"
"82","97530"
"83","20550"
"84","72040"
"85","77080"
"86","95886"
"87","Y5110"
"88","73564"
"89","99232"
"90","99285"
"91","X1230"
"92","72156"
"93","97012"
"94","Y3410"
"95","73030"
"96","Y3500"
"97","X1100"
"98","82306"
"99","73565"
"100","76942"
"101","99205"
"102","73560"
"103","22840"
"104","22614"
"105","97032"
"106","72010"
"107","22552"
"108","26055"
"109","A0427"
"110","A0429"
"111","72146"
"112","98943"
"113","Y4100"
"114","20605"
"115","22842"
"116","J7324"
"117","77002"
"118","73620"
"119","Y3510"
"120","Y4600"
"121","73510"
"122","95904"
"123","J3301"
"124","25447"
"125","29824"
"126","Y3020"
"127","73610"
"128","97035"
"129","63056"
"130","01810"
"131","Y4020"
"132","Y3100"
"133","63042"
"134","29822"
"135","28740"
"136","29826"
"137","63048"
"138","99283"
"139","J3488"
"140","64495"
"141","72157"
"142","20552"
"143","28285"
"144","Y6110"
"145","98926"
"146","22804"
"147","98927"
"148","Y2590"
"149","X1300"
"150","28296"
"151","01830"
"152","E0730"
"153","X2000"
"154","Y9220"
"155","96372"
"156","23412"
"157","64491"
"158","93970"
"159","72170"
"160","73722"
"161","Y3060"
"162","73110"
"163","01470"
"164","J7323"
"165","97033"
"166","95909"
"167","64999"
"168","S9501"
"169","X1210"
"170","72110"
"171","99201"
"172","S9502"
"173","J0585"
"174","29823"
"175","Y7620"
"176","23472"
"177","J9310"
"178","23350"
"179","L0637"
"180","95903"
"181","64633"
"182","L4360"
"183","20600"
"184","20553"
"185","73130"
"186","29880"
"187","88305"
"188","99223"
"189","Y3220"
"190","26160"
"191","63650"
"192","64634"
"193","99601"
"194","Y5000"
"195","72050"
"196","23420"
"197","27446"
"198","X2010"
"199","29915"
"200","A0425"
"201","Y3240"
"202","29806"
"203","Y4210"
"204","73140"
"205","64492"
"206","63020"
"207","73723"
"208","85025"
"209","J0587"
